first,last,isfemale-genderize,genderize-acc,genderize-log,isfemale-genderapi,genderapi-acc,genderapi-log
Eleanor,Leist,True,100.0,"{""count"":42551,""gender"":""female"",""name"":""Eleanor"",""probability"":1.0},",True,99,"{""last_name"":""Leist"",""first_name"":""Eleanor"",""strict"":false,""name"":""eleanor"",""name_sanitized"":""Eleanor"",""country"":"""",""gender"":""female"",""samples"":6723,""accuracy"":99,""duration"":""29ms"",""credits_used"":1},"
Belhassen,Akrout,False,98.0,"{""count"":369,""gender"":""male"",""name"":""Belhassen"",""probability"":0.98},",False,97,"{""last_name"":""Akrout"",""first_name"":""Belhassen"",""strict"":false,""name"":""belhassen"",""name_sanitized"":""Belhassen"",""country"":"""",""gender"":""male"",""samples"":240,""accuracy"":97,""duration"":""31ms"",""credits_used"":1},"
Tomohisa,Yamashita,False,98.0,"{""count"":109,""gender"":""male"",""name"":""Tomohisa"",""probability"":0.98},",False,75,"{""last_name"":""Tomohisa"",""first_name"":""Yamashita"",""strict"":false,""name"":""yamashita"",""name_sanitized"":""Yamashita"",""country"":"""",""gender"":""male"",""samples"":72,""accuracy"":75,""duration"":""40ms"",""credits_used"":1},"
Jesper,Thestrup,False,100.0,"{""count"":37255,""gender"":""male"",""name"":""Jesper"",""probability"":1.0},",False,99,"{""last_name"":""Thestrup"",""first_name"":""Jesper"",""strict"":false,""name"":""jesper"",""name_sanitized"":""Jesper"",""country"":"""",""gender"":""male"",""samples"":4264,""accuracy"":99,""duration"":""50ms"",""credits_used"":1},"
Narciso,Cerpa,False,99.0,"{""count"":7412,""gender"":""male"",""name"":""Narciso"",""probability"":0.99},",False,99,"{""last_name"":""Cerpa"",""first_name"":""Narciso"",""strict"":false,""name"":""narciso"",""name_sanitized"":""Narciso"",""country"":"""",""gender"":""male"",""samples"":1001,""accuracy"":99,""duration"":""41ms"",""credits_used"":1},"
Petko,Valtchev,False,98.0,"{""count"":360,""gender"":""male"",""name"":""Petko"",""probability"":0.98},",False,99,"{""last_name"":""Valtchev"",""first_name"":""Petko"",""strict"":false,""name"":""petko"",""name_sanitized"":""Petko"",""country"":"""",""gender"":""male"",""samples"":344,""accuracy"":99,""duration"":""37ms"",""credits_used"":1},"
Takahisa,Toda,False,99.0,"{""count"":137,""gender"":""male"",""name"":""Takahisa"",""probability"":0.99},",False,100,"{""last_name"":""Toda"",""first_name"":""Takahisa"",""strict"":false,""name"":""takahisa"",""name_sanitized"":""Takahisa"",""country"":"""",""gender"":""male"",""samples"":68,""accuracy"":100,""duration"":""36ms"",""credits_used"":1},"
Thomas,Portele,False,100.0,"{""count"":967094,""gender"":""male"",""name"":""Thomas"",""probability"":1.0},",False,99,"{""last_name"":""Portele"",""first_name"":""Thomas"",""strict"":false,""name"":""thomas"",""name_sanitized"":""Thomas"",""country"":"""",""gender"":""male"",""samples"":129177,""accuracy"":99,""duration"":""55ms"",""credits_used"":1},"
Jeff,Conklin,False,100.0,"{""count"":494554,""gender"":""male"",""name"":""Jeff"",""probability"":1.0},",False,99,"{""last_name"":""Conklin"",""first_name"":""Jeff"",""strict"":false,""name"":""jeff"",""name_sanitized"":""Jeff"",""country"":"""",""gender"":""male"",""samples"":46165,""accuracy"":99,""duration"":""35ms"",""credits_used"":1},"
Megan,MacGregor,True,100.0,"{""count"":249704,""gender"":""female"",""name"":""Megan"",""probability"":1.0},",True,99,"{""last_name"":""Macgregor"",""first_name"":""Megan"",""strict"":false,""name"":""megan"",""name_sanitized"":""Megan"",""country"":"""",""gender"":""female"",""samples"":21742,""accuracy"":99,""duration"":""41ms"",""credits_used"":1},"
Jason,Cope,False,100.0,"{""count"":653571,""gender"":""male"",""name"":""Jason"",""probability"":1.0},",False,99,"{""last_name"":""Cope"",""first_name"":""Jason"",""strict"":false,""name"":""jason"",""name_sanitized"":""Jason"",""country"":"""",""gender"":""male"",""samples"":76567,""accuracy"":99,""duration"":""39ms"",""credits_used"":1},"
Guo-Hong,Ding,,0.0,"{""count"":0,""gender"":null,""name"":""Guo-Hong"",""probability"":0.0},",True,50,"{""last_name"":""Ding"",""first_name"":""Guo-Hong"",""strict"":false,""name"":""guo-hong"",""name_sanitized"":""Guo-Hong"",""country"":"""",""gender"":""female"",""samples"":4425,""accuracy"":50,""duration"":""43ms"",""credits_used"":1},"
Diane,Rowland,True,100.0,"{""count"":287090,""gender"":""female"",""name"":""Diane"",""probability"":1.0},",True,98,"{""last_name"":""Rowland"",""first_name"":""Diane"",""strict"":false,""name"":""diane"",""name_sanitized"":""Diane"",""country"":"""",""gender"":""female"",""samples"":17672,""accuracy"":98,""duration"":""35ms"",""credits_used"":1},"
Jaewook,Chung,False,99.0,"{""count"":131,""gender"":""male"",""name"":""Jaewook"",""probability"":0.99},",False,100,"{""last_name"":""Chung"",""first_name"":""Jaewook"",""strict"":false,""name"":""jaewook"",""name_sanitized"":""Jaewook"",""country"":"""",""gender"":""male"",""samples"":78,""accuracy"":100,""duration"":""34ms"",""credits_used"":1},"
Donald,Allen,False,100.0,"{""count"":167611,""gender"":""male"",""name"":""Donald"",""probability"":1.0},",False,99,"{""last_name"":""Allen"",""first_name"":""Donald"",""strict"":false,""name"":""donald"",""name_sanitized"":""Donald"",""country"":"""",""gender"":""male"",""samples"":12793,""accuracy"":99,""duration"":""34ms"",""credits_used"":1},"
Xia,Wang,True,97.0,"{""count"":5661,""gender"":""female"",""name"":""Xia"",""probability"":0.97},",True,76,"{""last_name"":""Wang"",""first_name"":""Xia"",""strict"":false,""name"":""xia"",""name_sanitized"":""Xia"",""country"":"""",""gender"":""female"",""samples"":707,""accuracy"":76,""duration"":""39ms"",""credits_used"":1},"
Pascal,Nicolas,False,99.0,"{""count"":199383,""gender"":""male"",""name"":""Pascal"",""probability"":0.99},",False,98,"{""last_name"":""Nicolas"",""first_name"":""Pascal"",""strict"":false,""name"":""pascal"",""name_sanitized"":""Pascal"",""country"":"""",""gender"":""male"",""samples"":53481,""accuracy"":98,""duration"":""28ms"",""credits_used"":1},"
Catarina,Lucena,True,99.0,"{""count"":41408,""gender"":""female"",""name"":""Catarina"",""probability"":0.99},",True,98,"{""last_name"":""Lucena"",""first_name"":""Catarina"",""strict"":false,""name"":""catarina"",""name_sanitized"":""Catarina"",""country"":"""",""gender"":""female"",""samples"":8663,""accuracy"":98,""duration"":""41ms"",""credits_used"":1},"
Adnan,Al-Khatib,False,99.0,"{""count"":82678,""gender"":""male"",""name"":""Adnan"",""probability"":0.99},",False,97,"{""last_name"":""Al-Khatib"",""first_name"":""Adnan"",""strict"":false,""name"":""adnan"",""name_sanitized"":""Adnan"",""country"":"""",""gender"":""male"",""samples"":23287,""accuracy"":97,""duration"":""44ms"",""credits_used"":1},"
Pedro,Pereira,False,100.0,"{""count"":618003,""gender"":""male"",""name"":""Pedro"",""probability"":1.0},",False,99,"{""last_name"":""Pereira"",""first_name"":""Pedro"",""strict"":false,""name"":""pedro"",""name_sanitized"":""Pedro"",""country"":"""",""gender"":""male"",""samples"":109853,""accuracy"":99,""duration"":""45ms"",""credits_used"":1},"
Dmitry,Kropotov,False,100.0,"{""count"":53057,""gender"":""male"",""name"":""Dmitry"",""probability"":1.0},",False,100,"{""last_name"":""Kropotov"",""first_name"":""Dmitry"",""strict"":false,""name"":""dmitry"",""name_sanitized"":""Dmitry"",""country"":"""",""gender"":""male"",""samples"":8556,""accuracy"":100,""duration"":""39ms"",""credits_used"":1},"
Aitor,Murguzur,False,99.0,"{""count"":25962,""gender"":""male"",""name"":""Aitor"",""probability"":0.99},",False,99,"{""last_name"":""Murguzur"",""first_name"":""Aitor"",""strict"":false,""name"":""aitor"",""name_sanitized"":""Aitor"",""country"":"""",""gender"":""male"",""samples"":6365,""accuracy"":99,""duration"":""34ms"",""credits_used"":1},"
Malin,Nilsson,True,96.0,"{""count"":6168,""gender"":""female"",""name"":""Malin"",""probability"":0.96},",True,94,"{""last_name"":""Nilsson"",""first_name"":""Malin"",""strict"":false,""name"":""malin"",""name_sanitized"":""Malin"",""country"":"""",""gender"":""female"",""samples"":4008,""accuracy"":94,""duration"":""25ms"",""credits_used"":1},"
Mira,Balaban,True,91.0,"{""count"":43696,""gender"":""female"",""name"":""Mira"",""probability"":0.91},",True,85,"{""last_name"":""Balaban"",""first_name"":""Mira"",""strict"":false,""name"":""mira"",""name_sanitized"":""Mira"",""country"":"""",""gender"":""female"",""samples"":13186,""accuracy"":85,""duration"":""35ms"",""credits_used"":1},"
Li,Zhang,True,66.0,"{""count"":6952,""gender"":""female"",""name"":""Li"",""probability"":0.66},",True,51,"{""last_name"":""Zhang"",""first_name"":""Li"",""strict"":false,""name"":""li"",""name_sanitized"":""Li"",""country"":"""",""gender"":""female"",""samples"":4165,""accuracy"":51,""duration"":""39ms"",""credits_used"":1},"
